userName	userSubType	
0006	psgTech	
0007	researcher	
0008	psgTech	
0009	psgTech	
0010	psgTech	
0011	psgTech	
0012	psgTech	
0013	psgTech	
0014	researcher	
0015	psgTech	
0017	psgTech	
0018	researcher	
0019	researcher	
0020	psgTech	
0000	psgTech	
0023	psgTech	
0025	psgTech	
0029	psgTech	
0030	researcher	
0031	psgTech	
0032	researcher	
0034	researcher	
0035	psgTech	
0036	researcher	
0002	psgTech	
0037	psgTech	
0038	researcher	
0039	psgTech	
0040	psgTech	
0041	psgTech	
0042	psgTech	
0043	psgTech	
0044	psgTech	
0045	researcher	
0047	psgTech	
0049	psgTech	
0050	researcher	
0051	psgTech	
0052	psgTech	
0048	psgTech	
0053	researcher	
0054	psgTech	
0055	psgTech	
0056	researcher	
0057	psgTech	
0058	psgTech	
0059	researcher	
0060	psgTech	
0061	psgTech	
0062	psgTech	
0064	researcher	
0065	psgTech	
0066	psgTech	
0068	psgTech	
0069	psgTech	
0070	psgTech	
0072	psgTech	
0073	psgTech	
0004	psgTech	
0074	psgTech	
0075	psgTech	
0076	researcher	
0077	researcher	
0078	psgTech	
0079	researcher	
