epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSec
1	01-01-0001	67	1	8218.9336
6	01-01-0001	94	2	8488.9336
11	01-01-0001	231	3	14548.9336
16	01-01-0001	468	4	18328.9336
21	01-01-0001	575	5	19398.9336
26	01-01-0001	628	6	19928.9336
31	01-01-0001	686	7	24948.9336
36	01-01-0001	699	8	25078.9336
41	01-01-0001	727	9	25358.9336
46	01-01-0001	744	10	25528.9336
51	01-01-0007	105	1	5411.5234
56	01-01-0007	132	2	8281.5234
61	01-01-0007	337	3	16020.6016
66	01-01-0007	398	4	16831.5234
71	01-01-0007	619	5	21331.5234
76	01-01-0007	648	6	21821.5234
81	01-01-0007	739	7	25201.5234
86	01-01-0007	771	8	25781.5234
91	01-01-0007	779	9	26091.5234
96	01-01-0007	812	10	26421.5234
101	01-01-0008	37	1	10758.9922
106	01-01-0008	79	2	12588.9922
111	01-01-0008	129	3	17698.9922
116	01-01-0008	147	4	17878.9922
121	01-01-0008	162	5	18028.9922
126	01-01-0008	191	6	18318.9922
131	01-01-0008	198	7	22518.9922
136	01-01-0008	234	8	22996.9922
141	01-01-0008	251	9	23166.9922
146	01-01-0008	275	10	23406.9922
151	01-01-0010	4	1	3481.8867
156	01-01-0010	38	2	9031.8867
161	01-01-0010	64	3	13421.8867
166	01-01-0010	79	4	17451.8867
171	01-01-0010	111	5	20111.8867
176	01-01-0010	134	6	21931.8867
181	01-01-0010	154	7	23787.8867
186	01-01-0010	171	8	23957.8867
191	01-01-0010	190	9	24147.8867
196	01-01-0010	212	10	24367.8867
201	01-01-0011	36	1	3472.8438
206	01-01-0011	86	2	7362.8438
211	01-01-0011	235	3	14282.8438
216	01-01-0011	272	4	15482.8438
221	01-01-0011	301	5	16182.8438
226	01-01-0011	351	6	17782.8438
231	01-01-0011	406	7	19258.8438
236	01-01-0011	419	8	21932.8438
241	01-01-0011	437	9	22522.8438
246	01-01-0011	469	10	22842.8438
251	01-01-0012	40	1	9840.9648
256	01-01-0012	57	2	10010.9648
261	01-01-0012	80	3	13828.9648
266	01-01-0012	113	4	16538.9648
271	01-01-0012	142	5	17532.9648
276	01-01-0012	204	6	19240.9648
281	01-01-0012	236	7	20438.9648
286	01-01-0012	260	8	21138.9648
291	01-01-0012	284	9	21378.9648
296	01-01-0012	397	10	30474.9648
301	01-01-0013	69	1	2050.9805
306	01-01-0013	87	2	4440.9805
311	01-01-0013	155	3	8140.9805
316	01-01-0013	179	4	8380.9805
321	01-01-0013	209	5	8680.9805
326	01-01-0013	306	6	11850.9805
331	01-01-0013	436	7	15860.9805
336	01-01-0013	466	8	16450.9805
341	01-01-0013	559	9	22120.9805
346	01-01-0013	598	10	27220.9805
351	01-01-0014	96	1	6546.1602
356	01-01-0014	112	2	6706.1602
361	01-01-0014	138	3	8457.4102
366	01-01-0014	191	4	9187.4102
371	01-01-0014	218	5	12824.3398
