epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSample	
2576	01-01-0019	25	1	598001	
2581	01-01-0019	34	2	675001	
2586	01-01-0019	69	3	965201	
2591	01-01-0019	193	4	1313001	
2596	01-01-0019	205	5	1325001	
2601	01-01-0019	237	6	2164001	
2606	01-01-0019	325	7	2290001	
2611	01-01-0019	345	8	2504001	
2616	01-01-0019	395	9	2690001	
2621	01-01-0019	427	10	2785601	
2941	01-01-0035	159	1	786001	
2946	01-01-0035	173	2	800001	
2951	01-01-0035	634	3	2144001	
3166	01-01-0053	114	1	1231001	
3171	01-01-0053	275	2	1412001	
3176	01-01-0053	580	3	3037001	
3436	01-03-0024	540	1	1550001	
3441	01-03-0024	597	2	1908001	
3446	01-03-0024	696	3	2007001	
3601	01-03-0039	359	1	2014001	
3606	01-03-0039	422	2	2118001	
3611	01-03-0039	441	3	2148601	
3646	01-03-0056	226	1	1290001	
3651	01-03-0056	248	2	1385001	
3656	01-03-0056	456	3	2574001	
3721	01-03-0063	7	1	294001	
3726	01-03-0063	122	2	1275001	
3731	01-03-0063	186	3	1525001	
2821	01-01-0026	99	1	580001	
2826	01-01-0026	351	2	1487001	
2831	01-01-0026	697	3	2283201	
