subject	channel
01-02-0001.edf	C3-A2
01-02-0002.edf	C3-A2
01-02-0003.edf	C3-A2
01-02-0004.edf	C3-A2
01-02-0005.edf	C3-A2
01-02-0006.edf	C3-A2
01-02-0010.edf	C3-A2
01-02-0011.edf	C3-A2
01-02-0012.edf	C3-A2
01-02-0013.edf	C3-A2
01-02-0014.edf	C3-A2
01-02-0015.edf	C3-A2
01-02-0017.edf	C3-A2
01-02-0019.edf	C3-A2
01-03-0003.edf	C3-LE
01-03-0004.edf	C3-LE
01-03-0005.edf	C3-LE
01-03-0007.edf	C3-LE
01-03-0008.edf	C3-LE
01-03-0010.edf	C3-LE
01-03-0011.edf	C3-LE
01-03-0015.edf	C3-LE
01-03-0020.edf	C3-LE
01-03-0021.edf	C3-LE
01-03-0022.edf	C3-LE
01-03-0023.edf	C3-LE
01-03-0025.edf	C3-LE
01-03-0033.edf	C3-LE
01-03-0034.edf	C3-LE
01-03-0035.edf	C3-LE
01-03-0040.edf	C3-LE
01-03-0041.edf	C3-LE
01-03-0042.edf	C3-LE
01-03-0044.edf	C3-LE
01-03-0045.edf	C3-LE
01-03-0046.edf	C3-LE
01-03-0047.edf	C3-LE
01-03-0048.edf	C3-LE
01-03-0050.edf	C3-LE
01-03-0052.edf	C3-LE
01-03-0054.edf	C3-LE
01-03-0057.edf	C3-LE
01-03-0059.edf	C3-LE
01-04-0002.edf	C3-A2
01-04-0003.edf	C3-A2
01-04-0005.edf	C3-A2
01-04-0006.edf	C3-A2
01-04-0007.edf	C3-A2
01-04-0008.edf	C3-A2
01-04-0009.edf	C3-A2
01-04-0011.edf	C3-A2
01-04-0012.edf	C3-A2
01-04-0013.edf	C3-A2
01-04-0014.edf	C3-A2
01-04-0015.edf	C3-A2
01-04-0016.edf	C3-A2
01-04-0017.edf	C3-A2
01-04-0018.edf	C3-A2
01-04-0019.edf	C3-A2
01-04-0020.edf	C3-A2
01-04-0021.edf	C3-A2
01-04-0022.edf	C3-A2
01-04-0023.edf	C3-A2
01-04-0025.edf	C3-A2
01-04-0026.edf	C3-A2
01-04-0028.edf	C3-A2
01-04-0029.edf	C3-A2
01-04-0030.edf	C3-A2
01-04-0031.edf	C3-A2
01-04-0033.edf	C3-A2
01-04-0034.edf	C3-A2
01-04-0035.edf	C3-A2
01-04-0036.edf	C3-A2
01-04-0037.edf	C3-A2
01-04-0038.edf	C3-A2
01-04-0040.edf	C3-A2
01-05-0001.edf	C3-LE
01-05-0002.edf	C3-LE
01-05-0003.edf	C3-LE
01-05-0004.edf	C3-LE
01-05-0005.edf	C3-LE
01-05-0006.edf	C3-LE
01-05-0007.edf	C3-LE
01-05-0008.edf	C3-LE
01-05-0009.edf	C3-LE
01-05-0010.edf	C3-LE
01-05-0011.edf	C3-LE
01-05-0012.edf	C3-LE
01-05-0013.edf	C3-LE
01-05-0014.edf	C3-LE
01-05-0015.edf	C3-LE
01-05-0016.edf	C3-LE
01-05-0017.edf	C3-LE
01-05-0018.edf	C3-LE
01-05-0019.edf	C3-LE
01-05-0020.edf	C3-LE
01-05-0022.edf	C3-LE
01-05-0023.edf	C3-LE
01-05-0024.edf	C3-LE
01-05-0025.edf	C3-LE
01-01-0001.edf	C3-A2
01-01-0002.edf	C3-LE
01-01-0003.edf	C3-LE
01-01-0004.edf	C3-LE
01-01-0005.edf	C3-LE
01-01-0006.edf	C3-LE
01-01-0007.edf	C3-A2
01-01-0008.edf	C3-A2
01-01-0010.edf	C3-A2
01-01-0011.edf	C3-A2
01-01-0012.edf	C3-A2
01-01-0013.edf	C3-A2
01-01-0014.edf	C3-A2
