epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSec
1	01-05-0001	4	1	2970
6	01-05-0001	20	2	3320
11	01-05-0001	37	3	3490
16	01-05-0001	50	4	3620
21	01-05-0001	63	5	3750
26	01-05-0001	76	6	8530
31	01-05-0001	91	7	8680
36	01-05-0001	104	8	8810
41	01-05-0001	114	9	9100
46	01-05-0001	127	10	9230
51	01-05-0003	9	1	380
56	01-05-0003	49	2	5083
61	01-05-0003	79	3	5818
66	01-05-0003	98	4	6361
71	01-05-0003	120	5	6581
76	01-05-0003	140	6	6781
81	01-05-0003	175	7	7131
86	01-05-0003	189	8	7271
91	01-05-0003	205	9	8540
96	01-05-0003	213	10	8740
101	01-05-0004	41	1	1659
106	01-05-0004	59	2	1839
111	01-05-0004	116	3	2580
116	01-05-0004	147	4	3220
121	01-05-0004	213	5	6910
126	01-05-0004	242	6	7790
131	01-05-0004	265	7	8020
136	01-05-0004	290	8	8270
141	01-05-0004	335	9	9030
146	01-05-0004	432	10	14508
151	01-05-0005	34	1	2040
156	01-05-0005	56	2	2260
161	01-05-0005	86	3	2990
166	01-05-0005	103	4	3730
171	01-05-0005	169	5	8280
176	01-05-0005	200	6	9040
181	01-05-0005	272	7	10620
186	01-05-0005	290	8	11140
191	01-05-0005	350	9	11740
196	01-05-0005	370	10	13370
201	01-05-0006	29	1	6990
206	01-05-0006	50	2	7200
211	01-05-0006	57	3	7440
216	01-05-0006	67	4	7950
221	01-05-0006	93	5	10200
226	01-05-0006	175	6	12110
231	01-05-0006	181	7	12288
236	01-05-0006	195	8	14550
241	01-05-0006	218	9	14888.59
246	01-05-0006	244	10	15148.59
251	01-05-0007	70	1	7020
256	01-05-0007	100	2	7700
261	01-05-0007	123	3	7930
266	01-05-0007	174	4	8910
271	01-05-0007	200	5	11080
276	01-05-0007	223	6	11480
281	01-05-0007	271	7	12210
286	01-05-0007	275	8	12460
291	01-05-0007	313	9	14740
296	01-05-0007	345	10	15060
301	01-05-0008	11	1	1400
306	01-05-0008	14	2	4180
311	01-05-0008	20	3	4570
316	01-05-0008	35	4	5590
321	01-05-0008	59	5	6020
326	01-05-0008	71	6	8242
331	01-05-0008	92	7	12360
336	01-05-0008	109	8	12530
341	01-05-0008	141	9	12850
346	01-05-0008	158	10	13020
351	01-05-0009	23	1	2850
356	01-05-0009	31	2	5080
361	01-05-0009	42	3	6100
366	01-05-0009	57	4	6520
371	01-05-0009	64	5	6860
376	01-05-0009	101	6	9880
381	01-05-0009	102	7	12180
386	01-05-0009	114	8	12300
391	01-05-0009	132	9	12480
396	01-05-0009	152	10	12680
401	01-05-0010	16	1	930
406	01-05-0010	30	2	1070
411	01-05-0010	44	3	1210
416	01-05-0010	61	4	2640
421	01-05-0010	93	5	5860
426	01-05-0010	130	6	7370
431	01-05-0010	172	7	7980
436	01-05-0010	191	8	8170
441	01-05-0010	216	9	11270
446	01-05-0010	229	10	11400
451	01-05-0011	1	1	140
456	01-05-0011	16	2	290
461	01-05-0011	28	3	2740
466	01-05-0011	45	4	5050
471	01-05-0011	59	5	5190
476	01-05-0011	76	6	5360
481	01-05-0011	129	7	6360
486	01-05-0011	158	8	7800
491	01-05-0011	165	9	8140
496	01-05-0011	166	10	9560
501	01-05-0012	46	1	1280
506	01-05-0012	64	2	1460
511	01-05-0012	87	3	1690
516	01-05-0012	103	4	1850
521	01-05-0012	142	5	3000
526	01-05-0012	218	6	4800
531	01-05-0012	289	7	6430
536	01-05-0012	311	8	9430
541	01-05-0012	462	9	11310
546	01-05-0012	483	10	11830
551	01-05-0013	5	1	744
556	01-05-0013	21	2	1016
561	01-05-0013	32	3	3560
566	01-05-0013	45	4	3690
571	01-05-0013	57	5	5160
576	01-05-0013	71	6	5300
581	01-05-0013	85	7	5440
586	01-05-0013	100	8	5590
591	01-05-0013	123	9	6030
596	01-05-0013	127	10	9793.27
601	01-05-0014	8	1	666
606	01-05-0014	43	2	1640
611	01-05-0014	52	3	4160
616	01-05-0014	58	4	4450
621	01-05-0014	75	5	4620
626	01-05-0014	83	6	5630
631	01-05-0014	95	7	5750
636	01-05-0014	148	8	10890
641	01-05-0014	164	9	11050
646	01-05-0014	170	10	12030
651	01-05-0015	45	1	1671
656	01-05-0015	62	2	3970
661	01-05-0015	98	3	4330
666	01-05-0015	136	4	6090
671	01-05-0015	218	5	7270
676	01-05-0015	248	6	7570
681	01-05-0015	343	7	10890
686	01-05-0015	437	8	14170
691	01-05-0015	531	9	16020
696	01-05-0015	537	10	17410
701	01-05-0017	9	1	800
706	01-05-0017	43	2	1140
711	01-05-0017	86	3	2988
716	01-05-0017	105	4	3178
721	01-05-0017	185	5	7660
726	01-05-0017	308	6	11030
731	01-05-0017	344	7	11390
736	01-05-0017	470	8	12650
741	01-05-0017	509	9	15520
746	01-05-0017	525	10	15680
751	01-05-0016	7	1	3160
756	01-05-0016	35	2	10830
761	01-05-0016	55	3	11205
766	01-05-0018	29	1	680
771	01-05-0018	113	2	7566
776	01-05-0018	132	3	7756
781	01-05-0019	53	1	2530
786	01-05-0019	70	2	6080
791	01-05-0019	91	3	6290
796	01-05-0020	9	1	1050
801	01-05-0020	23	2	1190
806	01-05-0020	61	3	6340
811	01-05-0022	18	1	1250
816	01-05-0022	162	2	11350
821	01-05-0022	207	3	11970
826	01-05-0023	43	1	3280
831	01-05-0023	86	2	4700
836	01-05-0023	113	3	6580
841	01-05-0024	76	1	4980
846	01-05-0024	125	2	11460
851	01-05-0024	141	3	11620
856	01-05-0025	50	1	6098
861	01-05-0025	55	2	7360
866	01-05-0025	94	3	10650
871	01-05-0002	45	1	4340
876	01-05-0002	74	2	10580
881	01-05-0002	75	3	10780
886	01-03-0003	136	1	7330
891	01-03-0003	238	2	9220
896	01-03-0003	312	3	12250
901	01-03-0004	177	1	6868.62
906	01-03-0004	280	2	8672
911	01-03-0004	445	3	12864
916	01-03-0005	117	1	8080
921	01-03-0005	206	2	13430
926	01-03-0005	243	3	13800
931	01-03-0007	9	1	2354
936	01-03-0007	30	2	8730
941	01-03-0007	45	3	9110
946	01-03-0008	41	1	5362
951	01-03-0008	105	2	6200
956	01-03-0008	197	3	12499
961	01-03-0010	38	1	4970
966	01-03-0010	62	2	5210
971	01-03-0010	185	3	12150
976	01-03-0011	73	1	8040
981	01-03-0011	115	2	8660
986	01-03-0011	211	3	12500
991	01-03-0015	182	1	6720
996	01-03-0015	254	2	8850
1001	01-03-0015	541	3	15750
1006	01-03-0020	24	1	1550
1011	01-03-0020	104	2	6800
1016	01-03-0020	117	3	6930
