epochNum	subjectID	blockNumSrc	blockNumExp	epochStartSec	
2026	01-01-0001	67	1	8210	
2031	01-01-0001	94	2	8480	
2036	01-01-0001	231	3	14540	
2041	01-01-0001	468	4	18320	
2046	01-01-0001	575	5	19390	
2051	01-01-0001	628	6	19920	
2056	01-01-0001	686	7	24940	
2061	01-01-0001	699	8	25070	
2066	01-01-0001	727	9	25350	
2071	01-01-0001	744	10	25520	
2076	01-01-0007	105	1	5390	
2081	01-01-0007	132	2	8260	
2086	01-01-0007	337	3	15999.08	
2091	01-01-0007	398	4	16810	
2096	01-01-0007	619	5	21310	
2101	01-01-0007	648	6	21800	
2106	01-01-0007	739	7	25180	
2111	01-01-0007	771	8	25760	
2116	01-01-0007	779	9	26070	
2121	01-01-0007	812	10	26400	
2126	01-01-0008	37	1	10730	
2131	01-01-0008	79	2	12560	
2136	01-01-0008	129	3	17670	
2141	01-01-0008	147	4	17850	
2146	01-01-0008	162	5	18000	
2151	01-01-0008	191	6	18290	
2156	01-01-0008	198	7	22490	
2161	01-01-0008	234	8	22968	
2166	01-01-0008	251	9	23138	
2171	01-01-0008	275	10	23378	
2176	01-01-0010	4	1	3480	
2181	01-01-0010	38	2	9030	
2186	01-01-0010	64	3	13420	
2191	01-01-0010	79	4	17450	
2196	01-01-0010	111	5	20110	
2201	01-01-0010	134	6	21930	
2206	01-01-0010	154	7	23786	
2211	01-01-0010	171	8	23956	
2216	01-01-0010	190	9	24146	
2221	01-01-0010	212	10	24366	
2226	01-01-0011	36	1	3460	
2231	01-01-0011	86	2	7350	
2236	01-01-0011	235	3	14270	
2241	01-01-0011	272	4	15470	
2246	01-01-0011	301	5	16170	
2251	01-01-0011	351	6	17770	
2256	01-01-0011	406	7	19246	
2261	01-01-0011	419	8	21920	
2266	01-01-0011	437	9	22510	
2271	01-01-0011	469	10	22830	
2276	01-01-0012	40	1	9822	
2281	01-01-0012	57	2	9992	
2286	01-01-0012	80	3	13810	
2291	01-01-0012	113	4	16520	
2296	01-01-0012	142	5	17514	
2301	01-01-0012	204	6	19222	
2306	01-01-0012	236	7	20420	
2311	01-01-0012	260	8	21120	
2316	01-01-0012	284	9	21360	
2321	01-01-0012	397	10	30456	
2326	01-01-0013	69	1	2040	
2331	01-01-0013	87	2	4430	
2336	01-01-0013	155	3	8130	
2341	01-01-0013	179	4	8370	
2346	01-01-0013	209	5	8670	
2351	01-01-0013	306	6	11840	
2356	01-01-0013	436	7	15850	
2361	01-01-0013	466	8	16440	
2366	01-01-0013	559	9	22110	
2371	01-01-0013	598	10	27210	
2376	01-01-0014	96	1	6518.75	
2381	01-01-0014	112	2	6678.75	
2386	01-01-0014	138	3	8430	
2391	01-01-0014	191	4	9160	
2396	01-01-0014	218	5	12796.93	
2401	01-01-0014	240	6	13016.93	
2406	01-01-0014	310	7	17060	
2411	01-01-0014	335	8	17310	
2416	01-01-0014	358	9	19680	
2421	01-01-0014	388	10	20360	
2426	01-01-0016	69	1	10150	
2431	01-01-0016	96	2	12600	
2436	01-01-0016	108	3	12720	
2441	01-01-0016	151	4	15430	
2446	01-01-0016	157	5	16010	
2451	01-01-0016	173	6	16170	
2456	01-01-0016	210	7	18980	
2461	01-01-0016	219	8	19950	
2466	01-01-0016	256	9	20750	
2471	01-01-0016	285	10	21040	
2476	01-01-0017	153	1	11130	
2481	01-01-0017	186	2	13850	
2486	01-01-0017	224	3	14230	
2491	01-01-0017	241	4	14400	
2496	01-01-0017	320	5	21340	
2501	01-01-0017	342	6	21560	
2506	01-01-0017	362	7	25020	
2511	01-01-0017	380	8	25600	
2516	01-01-0017	399	9	25790	
2521	01-01-0017	411	10	25910	
2526	01-01-0018	161	1	5310	
2531	01-01-0018	255	2	6480	
2536	01-01-0018	309	3	7136	
2541	01-01-0018	444	4	10760	
2546	01-01-0018	527	5	13640	
2551	01-01-0018	610	6	14470	
2556	01-01-0018	671	7	19120	
2561	01-01-0018	708	8	19490	
2566	01-01-0018	762	9	20550	
2571	01-01-0018	788	10	21010	
2576	01-01-0019	25	1	5980	1.5586
2581	01-01-0019	34	2	6750	1.6094
2586	01-01-0019	69	3	9652	1.793
2591	01-01-0019	193	4	13130	2.0156
2596	01-01-0019	205	5	13250	2.0234
2601	01-01-0019	237	6	21640	2.5586
2606	01-01-0019	325	7	22900	2.6406
2611	01-01-0019	345	8	25040	2.7773
2616	01-01-0019	395	9	26900	2.8984
2621	01-01-0019	427	10	27856	2.957
2626	01-01-0020	2	1	3959.82	
2631	01-01-0020	27	2	4410	
2636	01-01-0020	40	3	4890	
2641	01-01-0020	101	4	6280	
2646	01-01-0020	144	5	10520	
2651	01-01-0020	258	6	14670	
2656	01-01-0020	279	7	15860	
2661	01-01-0020	297	8	16040	
2666	01-01-0020	316	9	17930	
2671	01-01-0020	356	10	31560	
2676	01-01-0021	70	1	11810	
2681	01-01-0021	85	2	11960	
2686	01-01-0021	99	3	12100	
2691	01-01-0021	114	4	12450	
2696	01-01-0021	131	5	12620	
2701	01-01-0021	180	6	13110	
2706	01-01-0021	286	7	17670	
2711	01-01-0021	375	8	18560	
2716	01-01-0021	403	9	18840	
2721	01-01-0021	604	10	25309.81	
2726	01-01-0022	46	1	1990	
2731	01-01-0022	88	2	2410	
2736	01-01-0022	108	3	2610	
2741	01-01-0022	140	4	2930	
2746	01-01-0022	158	5	3550	
2751	01-01-0022	205	6	5230	
2756	01-01-0022	229	7	8100	
2761	01-01-0022	266	8	8730	
2766	01-01-0022	345	9	9950	
2771	01-01-0022	420	10	10930	
2776	01-01-0023	27	1	4690.17	
2781	01-01-0023	230	2	17690	
2786	01-01-0023	499	3	28186	
2791	01-01-0024	357	1	16850	
2796	01-01-0024	369	2	16970	
2801	01-01-0024	732	3	30840	
2806	01-01-0025	198	1	8880	
