eventNum	startSamples	durationSamples	startSec	durationSec	
1	1647	94	16.47	0.94	
2	1845	86	18.45	0.86	
3	2057	133	20.57	1.33	
4	2520	105	25.2	1.05	
5	2930	51	29.3	0.51	
6	3543	99	35.43	0.99	
7	3887	111	38.87	1.11	
8	5406	60	54.06	0.6	
9	13010	105	130.1	1.05	
10	16836	54	168.36	0.54	
11	17696	77	176.96	0.77	
12	19684	87	196.84	0.87	
13	20067	57	200.67	0.57	
14	21752	93	217.52	0.93	
15	22748	99	227.48	0.99	
16	23246	92	232.46	0.92	
17	23489	64	234.89	0.64	
18	24337	57	243.37	0.57	
19	26005	60	260.05	0.6	
20	27010	121	270.1	1.21	
21	27283	116	272.83	1.16	
22	27414	89	274.14	0.89	
23	27683	137	276.83	1.37	
24	28175	119	281.75	1.19	
25	29855	74	298.55	0.74	
26	30543	144	305.43	1.44	
27	31089	52	310.89	0.52	
28	31321	94	313.21	0.94	
29	31792	130	317.92	1.3	
30	36897	97	368.97	0.97	
31	40599	71	405.99	0.71	
32	42151	69	421.51	0.69	
33	43057	41	430.57	0.41	
34	43257	79	432.57	0.79	
35	43966	84	439.66	0.84	
36	44069	46	440.69	0.46	
37	44467	91	444.67	0.91	
38	44845	51	448.45	0.51	
39	46168	87	461.68	0.87	
40	46284	184	462.84	1.84	
41	46817	49	468.17	0.49	
42	49026	37	490.26	0.37	
43	49443	98	494.43	0.98	
44	49969	109	499.69	1.09	
45	50505	127	505.05	1.27	
46	50908	77	509.08	0.77	
47	51142	55	511.42	0.55	
48	51474	76	514.74	0.76	
49	51920	111	519.2	1.11	
50	52806	71	528.06	0.71	
51	53336	91	533.36	0.91	
52	53803	105	538.03	1.05	
53	56172	107	561.72	1.07	
54	56538	63	565.38	0.63	
55	56928	47	569.28	0.47	
56	57279	54	572.79	0.54	
57	57616	51	576.16	0.51	
58	58796	64	587.96	0.64	
59	59476	72	594.76	0.72	
60	60835	76	608.35	0.76	
61	63909	53	639.09	0.53	
62	64877	76	648.77	0.76	
63	65190	80	651.9	0.8	
64	69338	95	693.38	0.95	
65	69750	45	697.5	0.45	
66	69829	55	698.29	0.55	
67	70355	152	703.55	1.52	
68	70897	174	708.97	1.74	
69	71263	83	712.63	0.83	
70	71354	83	713.54	0.83	
71	72751	136	727.51	1.36	
72	73403	51	734.03	0.51	
73	73491	115	734.91	1.15	
74	73725	120	737.25	1.2	
75	76596	76	765.96	0.76	
76	77245	71	772.45	0.71	
77	78956	85	789.56	0.85	
78	79431	96	794.31	0.96	
79	80275	61	802.75	0.61	
80	81578	42	815.78	0.42	
81	82662	87	826.62	0.87	
82	84159	80	841.59	0.8	
83	84281	96	842.81	0.96	
84	84512	104	845.12	1.04	
85	85674	65	856.74	0.65	
86	87399	121	873.99	1.21	
87	87878	172	878.78	1.72	
88	88626	120	886.26	1.2	
89	89704	63	897.04	0.63	
90	90045	73	900.45	0.73	
91	90467	119	904.67	1.19	
92	91000	158	910	1.58	
93	91473	97	914.73	0.97	
94	91776	119	917.76	1.19	
95	92048	58	920.48	0.58	
96	92375	192	923.75	1.92	
97	92890	96	928.9	0.96	
98	93295	101	932.95	1.01	
99	94070	80	940.7	0.8	
100	96076	79	960.76	0.79	
101	96591	61	965.91	0.61	
102	97168	104	971.68	1.04	
103	98559	53	985.59	0.53	
104	98770	91	987.7	0.91	
105	99551	64	995.51	0.64	
106	100758	60	1007.58	0.6	
107	101259	71	1012.59	0.71	
108	102461	57	1024.61	0.57	
109	102986	60	1029.86	0.6	
110	104460	78	1044.6	0.78	
111	104838	133	1048.38	1.33	
112	105298	120	1052.98	1.2	
113	105732	85	1057.32	0.85	
114	106114	71	1061.14	0.71	
115	107159	66	1071.59	0.66	
116	107728	42	1077.28	0.42	
117	109247	52	1092.47	0.52	
118	110568	61	1105.68	0.61	
119	111050	87	1110.5	0.87	
120	111454	104	1114.54	1.04	
121	111906	51	1119.06	0.51	
122	112288	40	1122.88	0.4	
123	113627	84	1136.27	0.84	
124	117460	74	1174.6	0.74	
125	118119	69	1181.19	0.69	
126	118431	40	1184.31	0.4	
127	122838	96	1228.38	0.96	
128	123057	78	1230.57	0.78	
129	124888	46	1248.88	0.46	
130	125794	60	1257.94	0.6	
131	129423	51	1294.23	0.51	
132	133567	59	1335.67	0.59	
133	135188	95	1351.88	0.95	
134	137158	57	1371.58	0.57	
135	142923	97	1429.23	0.97	
136	144817	88	1448.17	0.88	
137	147634	38	1476.34	0.38	
138	147747	76	1477.47	0.76	
139	148427	70	1484.27	0.7	
140	152695	59	1526.95	0.59	
141	160517	65	1605.17	0.65	
142	168997	62	1689.97	0.62	
143	169732	103	1697.32	1.03	
144	171140	54	1711.4	0.54	
145	173079	82	1730.79	0.82	
146	174090	49	1740.9	0.49	
147	174170	44	1741.7	0.44	
148	174823	61	1748.23	0.61	
149	181979	49	1819.79	0.49	
150	183726	54	1837.26	0.54	
151	185054	89	1850.54	0.89	
152	187852	92	1878.52	0.92	
153	188450	62	1884.5	0.62	
154	188848	103	1888.48	1.03	
155	189891	147	1898.91	1.47	
156	191046	71	1910.46	0.71	
157	191254	61	1912.54	0.61	
158	191735	64	1917.35	0.64	
159	191953	33	1919.53	0.33	
160	192359	98	1923.59	0.98	
161	193420	65	1934.2	0.65	
162	193673	79	1936.73	0.79	
163	193833	96	1938.33	0.96	
164	193998	60	1939.98	0.6	
165	194410	95	1944.1	0.95	
166	194865	84	1948.65	0.84	
167	195681	38	1956.81	0.38	
168	196184	57	1961.84	0.57	
169	196268	64	1962.68	0.64	
170	198460	56	1984.6	0.56	
171	199098	68	1990.98	0.68	
172	201124	100	2011.24	1	
173	201421	69	2014.21	0.69	
174	202916	88	2029.16	0.88	
175	203258	80	2032.58	0.8	
176	204011	53	2040.11	0.53	
177	205517	64	2055.17	0.64	
178	205937	56	2059.37	0.56	
179	207023	53	2070.23	0.53	
180	207536	81	2075.36	0.81	
181	211582	87	2115.82	0.87	
182	212563	71	2125.63	0.71	
183	213193	93	2131.93	0.93	
184	214610	88	2146.1	0.88	
185	214849	113	2148.49	1.13	
186	215413	123	2154.13	1.23	
187	215761	69	2157.61	0.69	
188	217898	116	2178.98	1.16	
189	218260	98	2182.6	0.98	
190	220706	76	2207.06	0.76	
191	221588	52	2215.88	0.52	
192	223076	80	2230.76	0.8	
193	223396	58	2233.96	0.58	
194	223866	88	2238.66	0.88	
195	224268	54	2242.68	0.54	
196	225384	127	2253.84	1.27	
197	225822	98	2258.22	0.98	
198	226530	70	2265.3	0.7	
199	227534	148	2275.34	1.48	
200	228221	120	2282.21	1.2	
201	228614	101	2286.14	1.01	
202	229706	86	2297.06	0.86	
203	232584	44	2325.84	0.44	
204	237659	74	2376.59	0.74	
205	238004	52	2380.04	0.52	
206	248243	49	2482.43	0.49	
207	248328	44	2483.28	0.44	
208	254937	131	2549.37	1.31	
209	256054	54	2560.54	0.54	
