eventNum	startSamples	durationSamples	startSec	durationSec	
1	1439	69	14.39	0.69	
2	2120	97	21.2	0.97	
3	3871	129	38.71	1.29	
4	4916	138	49.16	1.38	
5	5818	72	58.18	0.72	
6	6722	68	67.22	0.68	
7	7977	129	79.77	1.29	
8	8678	102	86.78	1.02	
9	9086	54	90.86	0.54	
10	9365	119	93.65	1.19	
11	9971	158	99.71	1.58	
12	11735	59	117.35	0.59	
13	12098	153	120.98	1.53	
14	13278	49	132.78	0.49	
15	14449	57	144.49	0.57	
16	15209	79	152.09	0.79	
17	15794	62	157.94	0.62	
18	16150	60	161.5	0.6	
19	19848	59	198.48	0.59	
20	20114	86	201.14	0.86	
21	21219	64	212.19	0.64	
22	23313	151	233.13	1.51	
23	23668	123	236.68	1.23	
24	24285	52	242.85	0.52	
25	24549	64	245.49	0.64	
26	24954	39	249.54	0.39	
27	25132	52	251.32	0.52	
28	26760	77	267.6	0.77	
29	27857	86	278.57	0.86	
30	28084	49	280.84	0.49	
31	29848	65	298.48	0.65	
32	31218	79	312.18	0.79	
33	31724	84	317.24	0.84	
34	35849	64	358.49	0.64	
35	35963	49	359.63	0.49	
36	36030	58	360.3	0.58	
37	36918	44	369.18	0.44	
38	38111	72	381.11	0.72	
39	39041	53	390.41	0.53	
40	39764	91	397.64	0.91	
41	41045	143	410.45	1.43	
42	41997	57	419.97	0.57	
43	43930	66	439.3	0.66	
44	44492	62	444.92	0.62	
45	46191	67	461.91	0.67	
46	47398	67	473.98	0.67	
47	49167	64	491.67	0.64	
48	49383	133	493.83	1.33	
49	50127	91	501.27	0.91	
50	50637	71	506.37	0.71	
51	53234	104	532.34	1.04	
52	53634	82	536.34	0.82	
53	54600	68	546	0.68	
54	55697	62	556.97	0.62	
55	56817	90	568.17	0.9	
56	57077	69	570.77	0.69	
57	58374	118	583.74	1.18	
58	58875	81	588.75	0.81	
59	59292	141	592.92	1.41	
60	59847	179	598.47	1.79	
61	60591	128	605.91	1.28	
62	61305	104	613.05	1.04	
63	61450	69	614.5	0.69	
64	63439	106	634.39	1.06	
65	63925	86	639.25	0.86	
66	64534	67	645.34	0.67	
67	64825	79	648.25	0.79	
68	65402	123	654.02	1.23	
69	65634	74	656.34	0.74	
70	67240	97	672.4	0.97	
71	67749	101	677.49	1.01	
72	69343	125	693.43	1.25	
73	70788	143	707.88	1.43	
74	71325	112	713.25	1.12	
75	72788	119	727.88	1.19	
76	72998	85	729.98	0.85	
77	73437	133	734.37	1.33	
78	73686	78	736.86	0.78	
79	74348	85	743.48	0.85	
80	75310	68	753.1	0.68	
81	75685	130	756.85	1.3	
82	75858	75	758.58	0.75	
83	75957	50	759.57	0.5	
84	76015	140	760.15	1.4	
85	76314	72	763.14	0.72	
86	76671	108	766.71	1.08	
87	77067	90	770.67	0.9	
88	77676	172	776.76	1.72	
89	78186	85	781.86	0.85	
90	79458	75	794.58	0.75	
91	79826	57	798.26	0.57	
92	80361	55	803.61	0.55	
93	80603	85	806.03	0.85	
94	81060	183	810.6	1.83	
95	81374	180	813.74	1.8	
96	82103	101	821.03	1.01	
97	82600	147	826	1.47	
98	83140	83	831.4	0.83	
99	85086	63	850.86	0.63	
100	85356	90	853.56	0.9	
101	85489	63	854.89	0.63	
102	86364	43	863.64	0.43	
103	86793	118	867.93	1.18	
104	87807	51	878.07	0.51	
105	88104	75	881.04	0.75	
106	88409	53	884.09	0.53	
107	88843	55	888.43	0.55	
108	89334	63	893.34	0.63	
109	91378	65	913.78	0.65	
110	91662	144	916.62	1.44	
111	92153	114	921.53	1.14	
112	93493	64	934.93	0.64	
113	94352	99	943.52	0.99	
114	95057	57	950.57	0.57	
115	95339	74	953.39	0.74	
116	95990	94	959.9	0.94	
117	96634	94	966.34	0.94	
118	97061	81	970.61	0.81	
119	97569	69	975.69	0.69	
120	97951	81	979.51	0.81	
121	98371	79	983.71	0.79	
122	98805	159	988.05	1.59	
123	99281	81	992.81	0.81	
124	99871	133	998.71	1.33	
125	100673	94	1006.73	0.94	
126	102795	74	1027.95	0.74	
127	103027	49	1030.27	0.49	
128	103730	111	1037.3	1.11	
129	104727	64	1047.27	0.64	
130	104818	59	1048.18	0.59	
131	105536	116	1055.36	1.16	
132	107557	106	1075.57	1.06	
133	107697	74	1076.97	0.74	
134	108043	52	1080.43	0.52	
135	109251	79	1092.51	0.79	
136	109929	78	1099.29	0.78	
137	110492	54	1104.92	0.54	
138	110949	94	1109.49	0.94	
139	111775	44	1117.75	0.44	
140	112412	72	1124.12	0.72	
141	114416	84	1144.16	0.84	
142	114896	89	1148.96	0.89	
143	115199	55	1151.99	0.55	
144	115728	34	1157.28	0.34	
145	121240	59	1212.4	0.59	
146	121472	123	1214.72	1.23	
147	122991	87	1229.91	0.87	
148	124447	49	1244.47	0.49	
149	127602	73	1276.02	0.73	
150	127931	156	1279.31	1.56	
151	147784	43	1477.84	0.43	
152	148910	82	1489.1	0.82	
153	149520	94	1495.2	0.94	
154	150544	91	1505.44	0.91	
155	151119	79	1511.19	0.79	
156	151601	89	1516.01	0.89	
157	152822	44	1528.22	0.44	
158	154859	69	1548.59	0.69	
159	155837	59	1558.37	0.59	
160	156423	91	1564.23	0.91	
161	157625	118	1576.25	1.18	
162	158447	89	1584.47	0.89	
163	161602	71	1616.02	0.71	
164	162555	58	1625.55	0.58	
165	164095	165	1640.95	1.65	
166	164558	107	1645.58	1.07	
167	165105	159	1651.05	1.59	
168	166124	84	1661.24	0.84	
169	168256	92	1682.56	0.92	
170	168592	89	1685.92	0.89	
171	168756	51	1687.56	0.51	
172	169800	64	1698	0.64	
173	170162	109	1701.62	1.09	
174	170709	142	1707.09	1.42	
175	171255	114	1712.55	1.14	
176	173085	77	1730.85	0.77	
177	173724	57	1737.24	0.57	
178	174247	99	1742.47	0.99	
179	177965	52	1779.65	0.52	
180	179162	59	1791.62	0.59	
181	181209	59	1812.09	0.59	
182	184675	84	1846.75	0.84	
183	185469	46	1854.69	0.46	
184	187456	58	1874.56	0.58	
185	187919	87	1879.19	0.87	
186	188430	82	1884.3	0.82	
187	189331	58	1893.31	0.58	
188	193196	127	1931.96	1.27	
189	193675	95	1936.75	0.95	
190	196979	66	1969.79	0.66	
191	199379	58	1993.79	0.58	
192	199777	71	1997.77	0.71	
193	201077	69	2010.77	0.69	
194	202466	32	2024.66	0.32	
195	205579	89	2055.79	0.89	
196	207033	89	2070.33	0.89	
197	207380	98	2073.8	0.98	
198	207760	59	2077.6	0.59	
199	208388	126	2083.88	1.26	
200	211525	106	2115.25	1.06	
201	212086	94	2120.86	0.94	
202	212508	64	2125.08	0.64	
203	213553	121	2135.53	1.21	
204	214745	105	2147.45	1.05	
205	215425	47	2154.25	0.47	
206	215668	107	2156.68	1.07	
207	220117	86	2201.17	0.86	
208	220631	76	2206.31	0.76	
209	222066	69	2220.66	0.69	
210	222917	108	2229.17	1.08	
211	223200	59	2232	0.59	
212	224978	75	2249.78	0.75	
213	225403	100	2254.03	1	
214	228399	62	2283.99	0.62	
215	228776	79	2287.76	0.79	
216	230732	44	2307.32	0.44	
217	234399	39	2343.99	0.39	
218	235252	33	2352.52	0.33	
219	236177	64	2361.77	0.64	
220	236696	36	2366.96	0.36	
221	237607	47	2376.07	0.47	
222	238935	47	2389.35	0.47	
223	243458	64	2434.58	0.64	
224	245192	31	2451.92	0.31	
225	251525	67	2515.25	0.67	
226	266438	83	2664.38	0.83	
227	270409	65	2704.09	0.65	
228	271887	46	2718.87	0.46	
229	273518	64	2735.18	0.64	
230	284203	59	2842.03	0.59	
231	287193	77	2871.93	0.77	
232	291006	48	2910.06	0.48	
233	307452	76	3074.52	0.76	
234	307772	61	3077.72	0.61	
235	309878	64	3098.78	0.64	
236	320199	38	3201.99	0.38	
237	321197	47	3211.97	0.47	
238	326943	55	3269.43	0.55	
239	328932	47	3289.32	0.47	
240	334518	79	3345.18	0.79	
241	356140	59	3561.4	0.59	
242	357699	78	3576.99	0.78	
243	359803	64	3598.03	0.64	
244	360697	108	3606.97	1.08	
245	362016	52	3620.16	0.52	
246	362533	52	3625.33	0.52	
247	366931	50	3669.31	0.5	
248	370879	71	3708.79	0.71	
249	374838	77	3748.38	0.77	
250	376106	73	3761.06	0.73	
251	380108	78	3801.08	0.78	
252	384229	60	3842.29	0.6	
253	384679	91	3846.79	0.91	
254	388064	51	3880.64	0.51	
255	389720	103	3897.2	1.03	
256	390086	104	3900.86	1.04	
257	390492	31	3904.92	0.31	
258	390936	69	3909.36	0.69	
259	391279	133	3912.79	1.33	
260	391779	172	3917.79	1.72	
261	392404	105	3924.04	1.05	
262	395239	96	3952.39	0.96	
263	396533	101	3965.33	1.01	
264	399379	53	3993.79	0.53	
265	399918	39	3999.18	0.39	
266	401676	80	4016.76	0.8	
267	402085	101	4020.85	1.01	
268	405733	107	4057.33	1.07	
269	406214	48	4062.14	0.48	
270	407341	73	4073.41	0.73	
271	407834	51	4078.34	0.51	
272	407916	64	4079.16	0.64	
273	408596	73	4085.96	0.73	
274	408825	57	4088.25	0.57	
275	408942	32	4089.42	0.32	
276	409504	61	4095.04	0.61	
277	409793	49	4097.93	0.49	
278	411526	46	4115.26	0.46	
279	412804	115	4128.04	1.15	
280	413472	84	4134.72	0.84	
281	413982	54	4139.82	0.54	
282	414238	144	4142.38	1.44	
283	415646	50	4156.46	0.5	
284	416149	91	4161.49	0.91	
285	417626	62	4176.26	0.62	
286	418706	84	4187.06	0.84	
287	419236	78	4192.36	0.78	
288	419492	93	4194.92	0.93	
289	421345	108	4213.45	1.08	
290	421630	60	4216.3	0.6	
291	422240	124	4222.4	1.24	
292	425267	124	4252.67	1.24	
293	428866	50	4288.66	0.5	
294	430338	126	4303.38	1.26	
295	430635	155	4306.35	1.55	
296	430865	89	4308.65	0.89	
297	431534	52	4315.34	0.52	
298	432158	81	4321.58	0.81	
299	432536	96	4325.36	0.96	
300	438703	33	4387.03	0.33	
301	439560	63	4395.6	0.63	
302	442048	44	4420.48	0.44	
303	442652	50	4426.52	0.5	
304	443443	103	4434.43	1.03	
305	444383	82	4443.83	0.82	
306	444769	50	4447.69	0.5	
307	446348	34	4463.48	0.34	
308	448649	103	4486.49	1.03	
309	450526	58	4505.26	0.58	
310	450690	97	4506.9	0.97	
311	451090	58	4510.9	0.58	
312	455049	33	4550.49	0.33	
313	458393	72	4583.93	0.72	
314	458974	113	4589.74	1.13	
315	459718	44	4597.18	0.44	
316	459971	69	4599.71	0.69	
317	575213	34	5752.13	0.34	
318	575270	44	5752.7	0.44	
319	575913	53	5759.13	0.53	
320	583113	46	5831.13	0.46	
321	589287	74	5892.87	0.74	
322	589573	81	5895.73	0.81	
323	592209	76	5922.09	0.76	
324	598321	49	5983.21	0.49	
325	603618	69	6036.18	0.69	
326	604297	62	6042.97	0.62	
327	608996	57	6089.96	0.57	
328	610665	39	6106.65	0.39	
329	616431	67	6164.31	0.67	
330	625171	67	6251.71	0.67	
331	627428	84	6274.28	0.84	
332	630024	47	6300.24	0.47	
333	633075	39	6330.75	0.39	
334	633483	79	6334.83	0.79	
335	633706	73	6337.06	0.73	
336	634208	94	6342.08	0.94	
337	634694	67	6346.94	0.67	
338	635199	89	6351.99	0.89	
339	636179	89	6361.79	0.89	
340	638007	48	6380.07	0.48	
341	638491	124	6384.91	1.24	
342	639349	94	6393.49	0.94	
343	640558	68	6405.58	0.68	
344	644470	37	6444.7	0.37	
345	646210	62	6462.1	0.62	
346	647402	62	6474.02	0.62	
347	648524	77	6485.24	0.77	
348	649474	77	6494.74	0.77	
349	651561	67	6515.61	0.67	
350	653108	62	6531.08	0.62	
351	655445	62	6554.45	0.62	
352	656419	99	6564.19	0.99	
353	657775	105	6577.75	1.05	
354	658464	76	6584.64	0.76	
355	658729	92	6587.29	0.92	
356	660111	149	6601.11	1.49	
357	662680	99	6626.8	0.99	
358	665187	72	6651.87	0.72	
359	677774	67	6777.74	0.67	
360	680661	59	6806.61	0.59	
361	683150	109	6831.5	1.09	
362	683668	64	6836.68	0.64	
363	683986	71	6839.86	0.71	
