eventNum	startSamples	durationSamples	startSec	durationSec	
1	1453	53	14.53	0.53	
2	2148	79	21.48	0.79	
3	3872	125	38.72	1.25	
4	5003	56	50.03	0.56	
5	5819	59	58.19	0.59	
6	6733	64	67.33	0.64	
7	7979	138	79.79	1.38	
8	8708	73	87.08	0.73	
9	9030	122	90.3	1.22	
10	9380	115	93.8	1.15	
11	9979	129	99.79	1.29	
12	11743	53	117.43	0.53	
13	12096	228	120.96	2.28	
14	12756	222	127.56	2.22	
15	13266	74	132.66	0.74	
16	13906	65	139.06	0.65	
17	14444	107	144.44	1.07	
18	15207	94	152.07	0.94	
19	15794	75	157.94	0.75	
20	16153	50	161.53	0.5	
21	17218	52	172.18	0.52	
22	17280	40	172.8	0.4	
23	17540	128	175.4	1.28	
24	17723	104	177.23	1.04	
25	19845	74	198.45	0.74	
26	20117	88	201.17	0.88	
27	21165	124	211.65	1.24	
28	23313	150	233.13	1.5	
29	23660	131	236.6	1.31	
30	24269	85	242.69	0.85	
31	24543	109	245.43	1.09	
32	24957	42	249.57	0.42	
33	25126	63	251.26	0.63	
34	26757	113	267.57	1.13	
35	27845	136	278.45	1.36	
36	28084	63	280.84	0.63	
37	29843	86	298.43	0.86	
38	30351	58	303.51	0.58	
39	31219	94	312.19	0.94	
40	31726	82	317.26	0.82	
41	32538	139	325.38	1.39	
42	32741	107	327.41	1.07	
43	33459	151	334.59	1.51	
44	35854	58	358.54	0.58	
45	35969	53	359.69	0.53	
46	36030	70	360.3	0.7	
47	36924	52	369.24	0.52	
48	37465	81	374.65	0.81	
49	38131	60	381.31	0.6	
50	39044	60	390.44	0.6	
51	39768	94	397.68	0.94	
52	41049	148	410.49	1.48	
53	41457	51	414.57	0.51	
54	41617	32	416.17	0.32	
55	41965	109	419.65	1.09	
56	42773	35	427.73	0.35	
57	43928	80	439.28	0.8	
58	44491	68	444.91	0.68	
59	45869	84	458.69	0.84	
60	46183	90	461.83	0.9	
61	47393	106	473.93	1.06	
62	49163	81	491.63	0.81	
63	49387	136	493.87	1.36	
64	50132	111	501.32	1.11	
65	50622	102	506.22	1.02	
66	53241	79	532.41	0.79	
67	53634	85	536.34	0.85	
68	54559	120	545.59	1.2	
69	55713	63	557.13	0.63	
70	56818	96	568.18	0.96	
71	57079	73	570.79	0.73	
72	58383	119	583.83	1.19	
73	58876	103	588.76	1.03	
74	59298	140	592.98	1.4	
75	59859	163	598.59	1.63	
76	60589	146	605.89	1.46	
77	61317	209	613.17	2.09	
78	61742	45	617.42	0.45	
79	63439	110	634.39	1.1	
80	63727	96	637.27	0.96	
81	63936	80	639.36	0.8	
82	64548	76	645.48	0.76	
83	64828	84	648.28	0.84	
84	65410	114	654.1	1.14	
85	65632	83	656.32	0.83	
86	66278	65	662.78	0.65	
87	67251	126	672.51	1.26	
88	67755	98	677.55	0.98	
89	67924	51	679.24	0.51	
90	68705	58	687.05	0.58	
91	69344	132	693.44	1.32	
92	70789	143	707.89	1.43	
93	71324	121	713.24	1.21	
94	72787	117	727.87	1.17	
95	73003	83	730.03	0.83	
96	73434	143	734.34	1.43	
97	74362	67	743.62	0.67	
98	75037	107	750.37	1.07	
99	75318	78	753.18	0.78	
100	75865	82	758.65	0.82	
101	75962	45	759.62	0.45	
